WO Description,WO rem long desc,Cause object
23274-n : kpot-52677645;(+)extraction,d5 dia leaking . locking ring would not open,Solenoid / Coil
n10 jib dropping cover back on chariot numerous times,"thought the issue was fixed frinday night because didn't call it in saturday night but then called it in sunday night . worker adjusted the cover fitment for a more snug fit, and didn't hear anything more the rest of the night",Finger
23274-n : kpot-18259412;(-)platen temp,output failed.,Terminal block
23274-n : kpot-87038563;(+)platen temp,replaced output card,Integrated Circuit
23274-d : kpot-87038595;(+)extraction,d5 valve base broke,Leather Brake strap
23274-d : kpot-15585712;(+)moldback temp,output terminal 13 in slot 11 staying energized when not commanded to be . replaced output card . operator put in cure law and put press on reheat,Input / Output Card
23274-d : kpot-29139922;(+)consecutive l1s,clogged v22 orifice,Orifice
air leak on lid,repaired broken air line,Tube
press keeps tearing membrane,"cleaned out transducers, checked for finger burrs, checked precon and jib height . press has been on loc since",Membrane
d19 bis leaking,replaced gaskets,Shut Off Valve
d 19 bis leaking,replaced gaskets,Shut Off Valve
d1 hose conversion,replaced pipe with hose,Pipe reducer
jib wont raise or lower,replaced d15,Flow Control Valve
23274-d : kpot-27504725;(+)extraction,ps7 failed . replaced ps7 and cleared out ps7 line,Pressure switch
cbo speed fast for nano speed,took out old orifice and put in new correct orifice,Orifice
jib fingers not opening,someone adjusted before arrival,Push Button
23274-d : kpot-81735379;(+)loading,"kpot in step 272, needed ls18 and ls15 . checked both limit switches . ls15 was halfway aligned with flag on p.c . adjusted ls15",Limit Switch / Sensor
23274-d : kpot-000000;(-)dsp duration,new membrane not stretched-filling slow,Membrane
23274-d : kpot-05846551;(+)membrane temp,clogged v22 orifice,Orifice
23274-d : kpot-27504885;(-)membrane temp,replaced right side orange hose that was leaking and bypass looked a lot better - restarted,Flexible Tubing / Hose
23275-n : kpot-52673632;(-)membrane psi,hole in membrane,Membrane
23275-n : kpot-36117410;(+)loading,jib fingers didn't release cover.membrane precon height was too high.,THREADED ROD
23275-n : kpot-36117094;(-)membrane temp,hole in membrane,Membrane
38.1 checklist,"r01 mb fitting leaking, tightened . also closed api handvalve",Nut
jib won't pick up cover,supply air for hydraulic tableau was turned off . no tag on press . turned air back on and put press on reheat,Shut Off Valve
jib will now lower,put grease in jib bearings,Bearing
23275-d : kpot-12889016;(+)membrane temp,clogged v22 orifice,Orifice
23275-d : kpot-51951311;(+)extraction,ps7 and serpentine clogged . cleared clog and changed out ps7 . put press on reheat,Pressure switch
membrane won't lower.,attached sol 17 cap,Solenoid / Coil
jib fingers not opening when extracting tire,ls19 flag fell down,Limit Switch / Sensor
23275-d : kpot-36108927;(+)loading,during the wrong o-rings were installed behind d3bis causing it to not seal properly.,Solenoid / Coil
23275-d : kpot-61879791;(-)membrane psi,bad oring . also replaced door switch,O-Ring
23276-n : kpot-13176288;(+)extraction,replaced d5 dia.,Diaphragm
23276-n : kpot-18362322;(-)membrane psi,membrane leaking,Membrane
23276-n : kpot-88587686;(+)extraction,replaced ps7,Pressure switch
23276-d : kpot-64765669;(-)membrane psi,blown membrane,Membrane
jib centering is bad,arch adjustment needed adjusted and eccentric shaft also,Fitting
uniformity checklist,membrane height off by 7mm,Membrane
23276-d : kpot-51969521;(+)extraction,ps7 failed,Pressure switch
23276-d : kpot-05844493;(-)membrane psi,"checked ls1 contact block, tightened loose screws on ls1, ran locking ring several times . could not duplicate.",Terminal block
prr: cbo raise is not working in every cycle getting cq 44.1 and 91.1,replaced o rings behind d9 sol . and replaced d19bis sol.,Solenoid / Coil
23276-d : kpot-36112320;(+)extraction,ls1 needed to be adjusted,Limit Switch / Sensor
dropping covers,jib was left to loose on dim change,Finger
e-06 won't load,jib flap cylinder out of clevis . seems like nut wasn't tightened when cylinder was replaced or last worked on.,Terminal block
b-12 wo't load,d20 failed,Directional Valve
46.1 checklist needed,checklist completed,Terminal block
cq 75.1s across km every sector. nsm already replaced mold,worker checked everything worker know may cause this and didnt find anything,Washer
23276-d : kpot-51969855;(-)moldback temp,modlback purge sol was leaking . replaced sol and ran bypass . looked good,Solenoid / Coil
23276-d : kpot-36112442;(+)membrane temp,"v22 valve covered in green so replaced valve . while worker was in there the v22 orifice looked a little small so worker replaced it too . cure looks way better now . worker'm guessing it was the orifice, but the valve would have probably started acting up soon too.",Orifice
23277-n : kpot-18361034;(+)dsp duration,ls27 limit switch arm stuck down . cycled several times and kept sticking even though it looked pretty new . worker moved the whole limit switch assembly back a little and it stopped sticking . restarted and it's running fine,Limit Switch / Sensor
jib wont pick cover from chariot,not sure what happened . started working while worker was troubleshooting it.,Process/CQ-Related
23277-n : kpot-13176991;(+)extraction,ps7 clogged,Pressure switch
79.1 checklist,completed checklist . press was running micro not nano speed,Orifice
23277-d : kpot-64766451;(-)membrane psi,membrane blown,Membrane
jib won't release cover at preconformation,transducers clogged,Terminal block
23277-d : kpot-05844774;(+)removed from auto,jib fingers not closing all the way . getting stuck on the adjustment pin . took scotch brite to the pin and had to file some on the cutout of the jib head to get it to move freely on the pin.,Shim
j11/j12 micro to nano conversions-  bead and lid speeds,speed conversions micro to nano,Orifice
jib not picking up cover out of press,adj'ed ls19,THREADED ROD
size of jib fingers not correct after d/c,wrong covers were brought to press due to feed path not being empty first,POST / STUD
slosing fault. locking ring turning late,replaced d6 dia due to air leak,Diaphragm
mb want inflate keeps timing out,"saw nothing obvious, press loaded fine for.",Terminal block
23277-d : kpot-29142410;(+)consecutive l1s,rtd plug was loose,Temperature Sensor
j11/j12- cured pick up height needs to be lowered- not at consigne.,lowered pick up heights,Washer
23277-d : kpot-29142430;(-)platen temp,put in a new rtd,Temperature Sensor
23278-n : kpot-29141473;(+)extraction,ps7 clogged,Pressure switch
23278-n : kpot-29142872;(+)loading,left lid hook pin broke,Pin / Clip
23278-n : kpot-29142807;(+)extraction,clogged ps7,Pressure switch
23278-n : kpot-51968711;(+)extraction,ps7 clogged,Pressure switch
23278-n : kpot-87042669;(+)loading,"misload blew the membrane . it looks like it dropped the cover as it tried to load . cover had one side in top of the membrane and the other on top of the bottom mold . worker removed the cover, called another one to the press and the fitment was definitely loose . worker adjusted it to a firm fitment and removed the membrane then turned over to the operator to finish that job (worker don't do membrane tags)",Finger
23278-n : kpot-71664949;(+)extraction,membrane transducers clogged . cleared out transducer line and put press on reheat,Steam
want load cover precon height,changed processor battery,BATTERY
46.1 checklist- v07 repeat for 46.1,completed checklist,Fitting
m/b not lowering to precon height,checked precon height and reinitialized-cover loaded,POST / STUD
23278-d : kpot-13174512;(+)platen temp,"membrane encoder cable shorted . replaced encoder cable . before finding the issue, other t/s decided just to change parts . bottom power supply and bottom analog input card were both replaced.",Wire
23278-d : kpot-39339929;(+)removed from auto,ran bypass bad membrane,Membrane
dropping the cured tire in the press,not picking up tire-lowered jib pick up height,Shaft
lid/cbo speed too fast for nano- cbo @ 25.6/ lid @ 115.4,drilled new orifices,Clamp
membrane not making precon height,press needed reheat,POST / STUD
23278-d : kpot-51968959;(+)loading,"cover stuck to mold, jib fingers did not release",Limit Switch / Sensor
m/b destroyed cover,refer to grs4001454,Eccentric
"h-01, h-02 jib cure pick up hight to high",jibs were set to consigne . was not picking tire out of press . lowered both presses jib pick up heights by 15mm,Process/CQ-Related
23279-n : kpot-23864487;(+)extraction,replaced ps7,Pressure switch
23279-d : kpot-44384301;(-)moldback temp,replaced rtd,Temperature Sensor
23279-d : kpot-87043668;(+)extraction,tire was sticking to the top mold . had operator spray mold also cleaned out transducers to make sure were reading properly.,Pressure Gauge / Gauge
m/b not lowering to precon height in auto,ran membrane up and down and to precon . put press on reheat . loaded press after reheat and press loaded fine,Process/CQ-Related
23279-d : kpot-05842006;(+)membrane temp,v22 orifice clogged . replaced orifice since the old one gasket was deteriorated.,Orifice
lid wont lower,replaced ls5 bracket.,Limit Switch / Sensor
23279-d : kpot-58057914;(+)extraction,ps7 not made . ps7 and serpentine clogged . cleared out serpentine and replaced ps7,Steam
23280-n : kpot-31854543;(+)loading,replaced d6 dia.,Solenoid / Coil
23280-n : kpot-15566278;(+)membrane temp,replaced broken airline for vinj . replaced v9 and vinj sols.,Solenoid / Coil
wont load,ps7 stuck closed,Pressure switch
23280-n : kpot-18262579;(+)extraction,replaced ps7,Pressure switch
23280-n : kpot-51966646;(+)dsp duration,ps7 showing made during cure . replaced ps7 and cleared out ps7 serpentine . put press on reheat,Pressure switch
leak detection,pin hole leak on membrane side of v4ter next to fitting,Terminal block
23280-d : kpot-51966727;(-)membrane temp,blip on membrane temp . tightened terminals on card swing arm and restarted press,Terminal End
23280-d : kpot-44384849;(+)loading,ls10 not made while lid lowering . adjusted ls10,Limit Switch / Sensor
23280-d : kpot-64749357;(-)membrane psi,replaced v19 and v21s actuator (blowing by),Gate Valve / Faucet
23280-d : kpot-58056322;(+)removed from auto,sectors closed switch not making-adjusted,Fitting
23280-d : kpot-51966878;(-)platen temp,tightened terminals for platen rtd . platen temp had spike in reading causing kpot,Screw
23280-d : kpot-58056371;(-)membrane psi,had operator replace membrane,Membrane
23280-d : kpot-86033822;(+)extraction,tire sticking to mold . had operator spray mold and restart press,Process/CQ-Related
44.1 chcklist,"completed portions of checklist worker could without running press . mike m said do not run it at all, quality said to leave it down.",Terminal block
lid not lowering for press reheat.,lid was lowered and press reheating when worker got there,POST / STUD
23280-d : kpot-18261014;(+)extraction,transducer hose clogged . did not have a new hose . blew hose out with hydrolube and put hose back on . transducer hose part number for jn is just a p.c . orange hose . need to get that fixed worker and get more hoses in stock,Steam
23281-n : kpot-71673106;(+)extraction,cleaned ps4 with supersol,Solenoid / Coil
m/b not going into precon,adjusted precon height,Membrane
23281-n : kpot-58056507;(+)extraction,replaced v23 sol.,Solenoid / Coil
23281-n : kpot-58056520;(+)extraction,replaced ps7,Pressure switch
jib might be cutting membrane,checked fingers-no sharp edges,Finger
lid want lower for press to go on reheat,ls27 head stuck down . fixed ls head and put press on reheat,Limit Switch / Sensor
23183-n : kpot-29133144;(+)membrane temp,replaced membrane rtd,Temperature Sensor
23183-n : kpot-03138685;(+)loading,sol12 was loose and leaking air out badly,Solenoid / Coil
23183-n : kpot-58037829;(-)membrane psi,k pot right at shutdown . needs bypass ran before starting up,Process/CQ-Related
hydro fault,replaced d1 because it was leaking onto the ps4 and replaced ps4,Screw
23337-n : kpot-71816777;(+)platen temp,output card 12 bad - replaced,PLC / PLC Cards
